id;company;location;dates;job;position;summary;pros;cons;advice-to-mgmt;overall-ratings;work-balance-stars;culture-values-stars;carrer-opportunities-stars;comp-benefit-stars;senior-mangemnet-stars;helpful-count
35853;netflix;Los Gatos, CA; Nov 3, 2018;Former  ;Linguist;Ok;Great food & colleagues;Lack of communication between departments;;3;2;3;3;3;2;0
35854;netflix;Los Angeles, CA; Oct 15, 2018;Current  ;Recruiter;Recruiter;- Very autonomous work environment - I was given more responsibility and freedom to take risks than at any other company before.  - Culture of transparency and feedback, there is a common understanding that timely and relevant feedback is key to one's dev;;;5;4;5;5;5;5;1
35855;netflix;Los Gatos, CA; Oct 11, 2018;Current  ;Senior UI Engineer;Good pay and interesting work;Freedom Kind of work you love to do Work life balance Pay;Few brilliant jerks here and there;;5;5;5;5;5;5;2
35856;netflix;; Sep 29, 2018;Current  ;Anonymous Employee;Netflix is the place to be;A great culture that focuses on freedom & responsibility and tries to avoid the pitfalls of typical Hollywood. You work among the best and brightest. You're treated like an adult in terms of how & when to do your work-- as long as it gets done and is done well. Plus, I mean, who can resist free food?;The culture isn't for everyone. If you're not performing at your best, you could be let go. Not a place for people who try to skate by.;;5;;;;;;5
35857;netflix;New York, NY; Oct 11, 2018;Current  ;Systems Administrator;It's Alright Here;cool work environment and people here;long hours, management is a little pushy;;4;3;5;5;5;3;1
35858;netflix;Los Gatos, CA; Oct 26, 2018;Current  ;Account Manager;Manager;You work with really smart people;A lot of work;;3;3;4;3;4;3;0
35859;netflix;; Oct 21, 2018;Former  ;Anonymous Employee;NetflixCS;Pay Lots of OT time Free snacks Free Netflix Pays half for lunches at cafeteria;Rude Callers No Phones on floor;;3;4;4;2;3;4;0
35860;netflix;San Francisco, CA; Oct 5, 2018;Current  ;Senior Security Engineer;Great culture - great place for growth;great culture - is an amazing place for growth;non yet - haven't worked greater than a year though.;;5;4;5;5;5;5;0
35861;netflix;; Oct 17, 2018;Former  ;Anonymous Employee;Salary review;Good pay and benefits, great cafe;Back to back calls with no support for break time;;2;1;1;1;3;1;1
35862;netflix;; Oct 2, 2018;Current  ;Anonymous Employee;CSR;Great atmosphere, subsidized meals, nice center.;I dont have any complaints about this company.;;5;;;;;;0
35863;netflix;Los Gatos, CA; Sep 17, 2018;Former  ;Senior Manager;Overall Positive;The Freedom & Responsibility Culture is top.  I had never (nor have I since) worked with such amazing colleagues. The amount and quality of work we got done was truly amazing.;Burnout, big time (for me anyway). The culture isn't one to nurture you through that, so I had to either suck it up or move on.;;4;1;5;4;5;5;5
35864;netflix;Los Angeles, CA; Sep 29, 2018;Current  ;Lead Creative;Lead Creative;Working Culture, freedom, space, salary.;Until now,  cons to be shared.;;5;4;5;4;4;4;0
35865;netflix;Salt Lake City, UT; Sep 26, 2018;Current  ;Technical Research Analyst;Technical Research Analyst;Benefits, culture, pay, location in Utah; to mention so far;Keep being transparent with your employees and providing structured training.;5;5;5;5;5;5;0
35866;netflix;Los Angeles, CA; Sep 9, 2018;Former  ;Anonymous Employee;I Wouldn't Tell My BFF or Worst Enemy To Work Here;The pay and health care is great.;Lack of Diversity, No Work Life balance, Deceptive/Passive Aggressive Management, Unhelpful HR, Competitive, Cut-throat, bad food, overly specialized positions, lack of variety in task, insurmountable workload.;Invest in your employees. Do not expect them to perform like robots. Be compassionate, encourage improvements, reward hard work.;2;1;1;1;5;1;24
35867;netflix;; Sep 20, 2018;Former  ;Anonymous Employee;HR;Bright and talented people, surrounded by committed co-workers; that I can think of;Keep the culture strong;5;;;;;;0
35868;netflix;Los Angeles, CA; Sep 6, 2018;Current  ;Anonymous Employee;As advertised in their culture memo;Culture, transparency, supportive coworkers, and benefits.;Growing so fast that so many people are new and it may provide a challenge to maintain the culture the company prides itself on.;;5;5;5;5;5;5;4
35869;netflix;; Sep 17, 2018;Former  ;Anonymous Employee;Publicist;Great people from multiple industries.;The company is growing too fast.;;5;;;;;;0
35870;netflix;Los Gatos, CA; Aug 9, 2018;Current  ;Senior Software Engineer;Great diverse culture, work-life balance;- Smart and talented colleagues, you work with mature people who know a lot but not full of themselves and take feedback seriously - Freedom and responsibility in day-to-day work, no micromanagement - Working with cutting edge tech and freedom to pick you;Netflix hires mature people and trusts their employees to prioritize their work the best way based on all the business context they have. There is not a lot of manager oversight or direction when it comes to what to work on. While I personally love this, I realize some people can find it challenging especially during first few months at the company.;;5;5;5;5;5;4;11
35871;netflix;; Sep 11, 2018;Former  ;Anonymous Employee;CSR;Great environment I loved it here.;Huge call volume. Expect to take nonstop calls.;;5;5;5;5;5;5;0
35872;netflix;Los Gatos, CA; May 5, 2018;Former  ;Senior Software Engineering Manager;Weaponization of culture;There are some teams doing progressive, technically interesting work- content encoding, some machine learning teams;Most teams aren't working on anything very innovative. The tech is your standard microservices architecture, and everything gets open-sourced, with a blog post and a nice conference talk. Eventually these projects wither because no one maintains them, and sometimes they dont even solve very effectively the problems they tout, but it's good PR for the engineers and 'leaders'.  Culture of fear is real. My manager was toxic, he loved to talk about diversity even though he was the biggest mansplainer in the room. My interview was interesting, it was a monologue of his rather unique theories of engineering management, most of which was a bunch of gibberish culled from the culture deck. When I got there I found him to be a pretty ineffective manager. He didn't have any engineering vision, no idea of strategy, and wasn't technical. If you get into an interview room and the manager spends 45 mins talking about himself, that's probably a sign to run!  Pick and choose what team you join. You can have either a pretty cool time with some smart folks, or have to deal with narcissists who believe their own PR.  Everytime I run into a Netflixer- they've either 1) just been fired or 2) tell me stories about the people in common we know who've been fired.;Management doesn't care about my advice, and they won't care about yours too. lol.;3;3;1;3;5;3;67
35873;netflix;; Oct 4, 2018;Former  ;Anonymous Employee;closed;location was a great location for me;the place was just nonoperational;;1;1;1;1;1;1;0
35874;netflix;Norcross, GA; Aug 27, 2018;Former  ;Scanner;Netflix was very enjoyable and fun all the coworkers well very friendly.;Flexible, good team work, good pay;Keeping up with the production;Good Communication encouragement to employees;4;5;5;5;5;5;0
35875;netflix;Los Gatos, CA; Jul 31, 2018;Current  ;Senior UI Engineer;Best culture, great colleagues, excellent pay, and real work/life balance;"* ""Freedom & Responsibility"" is a real thing, and is embraced by the entire company * Culture deck is taken seriously, and is a construct that everyone is constantly aligned around * Active & helpful employee resource groups * Interesting problems to solve, interesting industry, brilliant colleagues, lots of insights * Work/life balance is a real, attainable thing here * Unlimited PTO is respected * Excellent pay * Everyone has a proactive mindset and is always willing to reflect and iterate on ""why"" we are doing what we're doing";"* If you yearn for that close-knit team feeling, you may not find it here depending on which team you wind up on. Everyone's awesome to work with, but outside of getting things done, it can be hard to feel a real sense of camaraderie. I think this is a by-product of having a culture of ""Freedom & Responsibility"", wherein the company isn't forcing initiatives and events and whatnot upon you, so if you want to do something with your team, it's really in your (and your team's) hands to get it done.  * Since there's no strongly enforced standardization of technology stacks, they can be very disparate from team to team, which can lead to duplicate efforts, or implementations that are too tightly coupled to its use case, making it hard to reuse much of what exists.  * LA office feels h e c t i c.";I don't really have any adviceÉ??it's great to see our leaders leading by example and working hard to continue to improve (not preserve!) the culture here. Very refreshing and makes me excited to go to work every day.;5;5;5;3;5;5;6
35876;netflix;; Aug 30, 2018;Current  ;Anonymous Employee;Production Assistant;The company is recognizable and draw attention to your resume.;Hours were insane. Hardly any benefits. Only given government vacations.;Know what you want in animation as well as the process. This is completely different from live action shows.;2;1;1;4;1;1;0
35877;netflix;; Aug 4, 2018;Former  ;Anonymous Employee;great place to work and lot of opportunities to grow!;great place to work and a lot of opportunities to grow!;You are basically a code monkey!;;5;;;;;;1
35878;netflix;; Aug 15, 2018;Former  ;Anonymous Employee;Meh;Free Netflix is always a bonus;Low pay for my level;Increase pay;3;;;;;;0
35879;netflix;Salt Lake City, UT; Aug 31, 2018;Former  ;Supervisor;Bringing the worst of tech culture to a call center;Great pay, cool office. Free coffee.;Toxic culture. Tech culture at its worst. Management more interested in the next big idea than actually following through on a current plan.;;1;4;1;1;5;1;2
35880;netflix;Los Gatos, CA; Jun 23, 2018;Current  ;Software Engineering Manager;Netflix Product Engineering;- Work on cutting edge tech - Freedom & Responsibility culture is not just on paper but a reality - Never seen any other company give as much business context to employees. - Discussions, questions and debates with senior mgmt are encouraged - Risk taking;- No formal mentorship program to help individual contributors grow - If you are not cut out for fast paced, learn something new everyday style of work, this is not the place for you;"- Keep investing in employees - Keep giving context and being transparent - Continue the ""no brilliant jerks"" value - Invest in mentorship program - Maintain the freedom & responsibility culture as the company grows worldwide - Tap into fresh grads for in";5;3;5;4;4;4;10
35881;netflix;Los Angeles, CA; Jul 26, 2018;Former  ;Administrative Assistant;Administrative Assistant;Free breakfast and lunch every day, lots of free stuff around the office, awesome co-workers- super open environment that encourages curiosity and questioning;Difficult to move between departments- easy to get stuck as an assistant in a department that doesn't interest you (aka a dead end, no growth);;3;3;5;4;5;5;6
35882;netflix;Los Gatos, CA; Jul 16, 2018;Current  ;Senior Software Engineer;Senior Software Engineer;Lots of transparency and communication. Big focus on inclusivity and psychological safety. Team members are mature and I find have high emotional intelligence.  Team leader is great, delegates a lot, no micro management. She also challenges us constantly and give very candid and direct but always tactful feedback. I feel like I have a lot of opportunities to improve here.;"Really struggling to find any meaningful con for now, but I've also only worked there for three months. I'm sure my perspective will change over time.  ∂ˇI've seen the ""freedom and responsibility"" motto used as what seemed like a way to avoid looking at a problem deeper. But it hasn't been a major problem.";;5;5;5;5;5;5;0
35883;netflix;; Jul 11, 2018;Current  ;Anonymous Employee;Data engineering manager;freedom and responsiblity. Loosely couple and tightly aligned model;high performance culture, need to perform everyday;;4;3;4;4;5;4;0
35884;netflix;; Jul 1, 2018;Current  ;Anonymous Employee;Fantastic place to work;Super high performance culture. Always felt I was being compensated fairly and working on interesting projects.;Too many meetings. Starting to take on the worst of Hollywood (politics and power hierarchy.) Kindness really isn't encouraged;;5;3;4;5;5;2;2
35885;netflix;Hillsboro, OR; Jul 17, 2018;Former  ;Supervisor;Ok experience;Pay, peers, training, tools and teams;Complete lack of employee respect. Anyone can be let go at anytime.;Remember you employee people not robots;3;3;3;3;3;2;0
35886;netflix;; Jun 26, 2018;Former  ;Anonymous Employee;CSR Phone Rep for Netflix;They give you free food and are very nice to work with. Good hours and not stressful;Stats tracked a lot and you need to meet goals every week.;;4;;;;;;0
35887;netflix;Los Gatos, CA; May 11, 2018;Current  ;Senior Software Engineer;Senior Software Engineer;"I might be biased since I recently joined, but I am using my fake name so I have no reason to make stuff up: -Founder by Stanford CSMS graduate, so it's a tech company by heart. -Amazing tech(it's not just ""microservice"" although Netflix was one of the first companies who introduced that level of scale"" -What's even better - each team can use their own tech, whatever is the latest a greatest to solve a particular problem -Netflix is growing like crazy and not just in terms of revenue, but in terms of product and business cases - Interview process focused heavily on the culture which means you'll most likely work with the amazing people surrounding you.The environment encourages you to be a better version of yourself, which is far from the case in many places and often the opposite of that.";-if you are looking for a stable job for next 5-10 years and you are in your late 40th, and dont constantly want to learn something new and you want to work 9-5 if might not be a job for you. But everyone at the company is very transparent about it ahead;Keep the innovation and since the company is so great - make sure they are not afraid to innovate, and not afraid make mistakes and lose the amazing job as a result. I don't know if it's the case, but I can see how it could possibly be, when people really like to keep their jobs no matter what;5;4;5;5;5;5;12
35888;netflix;Salt Lake City, UT; Jul 13, 2018;Current  ;CSR-1;Far Left, Culture of FEAR;Pay is just about average.;"Hard to move up if you are not a minority or stuck to the ""hips"" of one of the upper management. Good luck getting recognition if you dont fit the political mold. Pushes political agenda down your throat. If you are not one of them, they shun you. They coach you on what you do that's ""wrong"" based on uncontrollable factors. There is a definite ""Inner Circle"". If you dont participate in off-site activities you are looked down on. There is no attention on Family. If you have an emergency and have to leave without using E-time or Flex or even PTO you will be fired. #Inclusion doesn't exist.";Focus on the good not the bad. Positive reinforcement should be a much bigger focus instead of focusing on what you are doing wrong. Recontact rate is too big of a priority and is mostly uncontrollable.;1;1;2;1;3;1;16
35889;netflix;; Jun 15, 2018;Current  ;Anonymous Employee;Excellent culture, great leadership;Leader in getting the best from data and analytical insights, combined with strong intuition and creative risk taking;The isn't anything notable to add here;Continue to balance the best of data and creativity;5;5;5;5;5;5;0
35890;netflix;; Jun 11, 2018;Former  ;Anonymous Employee;Great expenerience but depends on teams;Love the culture of freedoms and responsibilities. Lots of smart people working on cutting edge technology.;Even with their motto of É??no brilliant assholesÉ?ù, youÉ??ll still come across a few especially if they have an agenda to absorb you into their team.;;4;3;4;4;5;4;1
35891;netflix;; Jun 7, 2018;Current  ;Anonymous Employee;Incredible culture;;;;5;4;5;5;5;5;1
35892;netflix;Salt Lake City, UT; Jul 7, 2018;Former  ;Customer Service Representative;I wish I could give negative stars;They try to give lots of pto and pay raises to keep you from quitting.;Everything. This is honestly the WORST company I have ever worked for. Absolutely horrible management, terrible training, and awful employee policies. DONT EVER WORK HERE IF YOU WANT TO BE TREATED WITH RESPECT OR LIKE A HUMAN! This place is so far unattached from human feelings that if you ever have a family issue or emergency, you will lose your job for picking your family first. There is no care and compassion here, you come to work and act like a robot and are treated like the most unimportant employees in the world. Nothing is worth the emotional stress this place put me through.;GET IT TOGETHER! THIS IS THE MOST MISMANAGED SALT LAKE CALL CENTER. You also have the most SEXIST and UNQUALIFIED managers I have ever met in my life. Truly disappointed that Netflix has such a horribly run location.;1;1;1;1;2;1;12
35893;netflix;Salt Lake City, UT; Jun 1, 2018;Current  ;Customer Service Representative;Netflix;Diversity, Benefits, Competitive pay, great center.;I honestly loved working for netflix;;4;4;4;3;5;4;2
35894;netflix;; Apr 28, 2018;Former  ;Anonymous Employee;Focused, forward thinking, competitive;Decent benefits, flexible work hours, being part of something dynamic and fluid. Inspiration by some of the best and brightest in the entertainment industry. Reed is an awesome man!;At times, hostile working environment. Usually temp and tied to mid level mgmt turnovers. Lots of change that sometimes feels like company has gone down the rabbit hole...–??ü;;5;5;4;4;4;5;10
35895;netflix;Los Angeles, CA; May 18, 2018;Current  ;Localization Project Manager;Project Manager;Freedom and Responsibility culture.;I wasn't able to find any cons yet. Best company I ever worked.;;5;;;;;;0
35896;netflix;; May 17, 2018;Current  ;Anonymous Employee;Culture of fear;;;Work hard to keep the good people;2;3;1;1;5;1;12
35897;netflix;Salt Lake City, UT; May 10, 2018;Former  ;Customer Service Representative;Good Place to Work;Good Pay, Monthly attendance bonuses, good food in the cafe;Extremely competitive, customers can be extremely rude just like any call center;;4;5;4;4;5;4;0
35898;netflix;; May 8, 2018;Former  ;Customer Service Representative;Employment;Lots of overtime available during busy seasons Flex hours;If you're in the National Guard, they will use your PTO to make up for the hours you were gone for drill so you never have any PTO saved up. During peak seasons, they offer a lot of overtime but a lot of people also dont show up for work either.;;3;3;3;3;2;3;2
35899;netflix;Los Gatos, CA; Mar 23, 2018;Former  ;Product;Growing pains;Autonomy, good place for self-starters, open culture where you can reach out to anyone with ideas and ask for input.;A culture of fear. Level of stress is high and I have been through so many team members being fired or let go that I can't even count them.;Look at skills not experience when shaping the teams. Some people were good at the early phase and are also able to adapt. Identify the strong candidates who are able to work cross-functionally rather than getting rid of entire teams when you are moving into a new direction.;3;5;4;3;5;3;22
35900;netflix;; Apr 10, 2018;Former  ;Anonymous Employee;Contracts Manager;Great culture. Fun company to work for;workloads could be heavy. hours could be more flexible;they are doing just well.;5;5;4;5;5;5;1
35901;netflix;Salt Lake City, UT; Apr 4, 2018;Former  ;CSR2;Great benefits but not for everyone.;25 plus days of PTO and health benefits are great.;Customers can be difficult and it can be a kinda fear based environment based on the seriousness of implementing feedback and depending on your supervisor.;;5;3;5;2;5;3;2
35902;netflix;Salt Lake City, UT; Feb 27, 2018;Current  ;Customer Service Representative;Who really is watching?;Great benefits Competitive pay Flexible schedule (for the most part) Tons of Netflix swag Free Netflix membership Game room Food at a very affordable price;1. They either like you or they donÉ??t. You HAVE to play work politics and meet as many upper level managers as possible. Your numbers, your adaption to their É??cultureÉ?ù, and your prior work experience DO NOT matter when it comes to growth within the company. 2. You canÉ??t get up and use the bathroom. Your breaks and lunches can be moved around (if approved by WFM) so they tell you to move your break up so you can get up and use the bathroom. You literally have to fill out HR accommodation forms to have certain privileges such as bathroom use. 3. You had an emergency? If you have the emergency hours to cover it, GREAT! But if you donÉ??t, expect to be put on probation or fired the next time you walk in. They expect you to PTO 24 hours before and itÉ??s like they wanted you to anticipate the emergency 24 hours before. 4. Coaching is a joke. Literally the sups ask us what WE want to work on. What we thought of our own performance and place those ideas into our action plan. My question is, arenÉ??t the sups suppose to know the problems? ArenÉ??t they suppose to be the ones prepared for the meeting and have a course of action? It feels like IÉ??m doing their job and they just say É??great idea let me write this down and submit it!É?ù They will ALWAYS tell you what you are doing wrong but unless upper management makes a comment about moral being down, they will never compliment you. 5. Utah is a right to work state. In plain English it means the company doesnÉ??t need to have a reason to fire you, hence why a lot of other big companies place their call centers here. This law allows some employers to abuse the stability of employees and base their decisions on emotions instead performance.;You want us to live by NetflixCS values yet your own supervisors donÉ??t live up to those values. Stop making it seem like itÉ??s ok to voice our opinion when in reality you fire people for crossing that line or for exposing upper management. You do not provide a stable working environment, nobody leads by example, stop promoting people that are ill equipped for the promotion and most of all stop treating us like customers by POS POS (keeping things positive and avoiding the problem to focus on what CAN be done) and dancing around our questions or concerns.;3;3;4;1;4;2;26
35903;netflix;; Mar 30, 2018;Former  ;Anonymous Employee;Netflix customer support agent;Best place to work & learn;There is no cons of Netflix;You guys should need to give more priorities to your senior employees.;4;4;3;4;5;3;1
35904;netflix;Salt Lake City, UT; Mar 26, 2018;Current  ;Technical Support Representative;Amazing company and culture;This is the most interesting and engaging job I've ever had. Amazing benefits with great leadership and a feedback driven culture. Every day is a new challenge. TSR is a great role for curious people who want to avoid a monotonous work routine.;Since there is a need for 24/7 coverage, your shifts can potentially be less than ideal (working weekends and overnights), but shift bids are held every 3 months.;Thanks for all you do!;5;3;5;4;5;5;0
35905;netflix;Salt Lake City, UT; Mar 14, 2018;Current  ;TSR;TSR;Free Netflix, something new everyday, autonomy,;If you dont improve, you wont work here long.;;4;5;4;2;5;4;1
35906;netflix;; Mar 13, 2018;Former  ;Anonymous Employee;Awesome place to work for many years;great culture, smart people, fast pace;nothing. Miss the old days tho.;;5;5;4;5;5;5;0
35907;netflix;; Mar 2, 2018;Former  ;Anonymous Employee;IT;High Paying job with great benefits;Stressfull when busy but rewarding;;5;;;;;;2
35908;netflix;San Jose, CA; Apr 8, 2018;Former  ;Tech Support;Secretive & Pigeonholed Mentality;Promotes camaraderie among employees with reasonable benefits to salaried staff;Expects 50 hr work weeks as normal with no regard as to whether goals have been met;Rethink review process to a more merit based model;1;2;3;3;3;2;4
35909;netflix;Salt Lake City, UT; Mar 13, 2018;Former  ;TSR;Transparency right?;* Good pay * Good benefits * Some good people that work there. * Most cafe food is good;"* It is absolutely required you ""graduate"" from training, if not, you will be fired if you make a couple mistakes there, or on the floor. Something they obviously dont tell you.  * Culture states there is transparency but I found that to be only true to some extent.  * There is an air of arrogance from management.  * They only want the cream of the crop, average TSR is just not good enough. This makes for a very high turnover rate.  * Netflix culture is friendly, cordial, professional, but it feels very restrictive, and subtlety-micromanaged.";;2;3;1;4;4;1;5
